thang,vung,tinh,quan,warehouse_id,warehouse_name,ten_kh,vol,kl,so_ngay,so_ngay_tren_1000,vol_tb_ngay,kl_tb_ngay,pct_duoi_5kg,pct_noi_vung,pct_lien_vung,pct_opr,pct_gio_0_9,pct_gio_9_19,pct_gio_19p,vol_delivered,pct_odr,pct_longtail,order_code_mau,pct_rot_lc
2026-03,HCM,Hồ Chí Minh,Quận Bình Tân,22205000,Bưu Cục 8F Gò Xoài-Bình Hưng Hòa A-Bình Tân-HCM,Thành như ntshop,564,1409.7,31,0,18.19354839,45.47419355,0.959219858,0.879432624,0.120567376,0.659574468,0.15070922,0.576241135,0.273049645,562,0.90747331,0.161921708,VNGH80806294908,0.081996435
2026-04,HCM,Hồ Chí Minh,Quận 9,21358000,Bưu Cục Phường Long Trường-Q9-HCM,ElysCoffee,125,44.292,23,0,5.434782609,1.92573913,0.992,0.672,0.328,0.856,0.248,0.752,0.0,125,0.952,0.088,VNGH80201935610,0.0
2026-03,HNO,Hà Nội,Quận Long Biên,1297,Key Account Warehouse Ha Noi,Gleami Store VN,798,392.46,7,0,114.0,56.06571429,1.0,0.511278195,0.488721805,0.368421053,0.170426065,0.553884712,0.275689223,796,0.864321608,0.189698492,VNGH80385094502,0.0
2026-04,HCM,Hồ Chí Minh,Thành Phố Thủ Đức,22473000,Bưu Cục 13 Đường Số 8-Hiệp Bình Phước-Q.Thủ Đức-HCM,Hân.care,30,45.11,13,0,2.307692308,3.47,1.0,0.8,0.2,0.5,0.1,0.7,0.2,30,0.866666667,0.166666667,VNGH80642705605,0.0
2026-05,HNO,Hà Nội,Huyện Thanh Trì,22424000,Bưu Cục Cồng Kềnh Tổng Cục 5 Yên Xá-Thanh Trì-HN,Tạp hóa Piti 247,7,3.366,3,0,2.333333333,1.122,1.0,0.428571429,0.571428571,0.0,1.0,0.0,0.0,7,1.0,0.0,VNGH80529966005,0.0
2026-03,HCM,Hồ Chí Minh,Quận 9,22367000,Bưu Cục Đường 268 Đỗ Xuân Hợp-Phường Phước Long-HCM,DRAGON MEN,189,92.9,30,0,6.3,3.096666667,1.0,0.497354497,0.502645503,0.904761905,0.148148148,0.851851852,0.0,189,0.862433862,0.195767196,VNGH80574444908,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Bình Chánh,22137000,Bưu Cục 75 Đường Số 2 KDC Nguyên Sơn-Bình Hưng-Bình Chánh,RISING TIME,3,3.0,1,0,3.0,3.0,1.0,0.333333333,0.666666667,0.333333333,0.0,1.0,0.0,3,1.0,0.333333333,VNGH80604945005,0.0
2026-04,HNO,Hà Nội,Quận Thanh Xuân,20614000,Bưu Cục 142A Khuất Duy Tiến-Q.Thanh Xuân-HN,HaBi Store - Mũ Nón Thời Trang,805,139.306,29,0,27.75862069,4.803655172,1.0,0.347826087,0.652173913,0.982608696,0.207453416,0.792546584,0.0,804,0.848258706,0.236318408,VNGH80005795609,0.009937888
2026-04,HCM,Hồ Chí Minh,Huyện Hóc Môn,21066000,Bưu Cục 106/3A Tây Lân-Hóc Môn-HCM,Cửa Hàng Vật Tư Bạch Dương,1,90.0,1,0,1.0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,VNGH80493845101,0.0
2026-04,HCM,Bình Dương,Huyện Bàu Bàng,20899000,Bưu Cục A4/18 Đường D10-Thuận An-Bình Dương,YueJu VN,249,145.9,25,0,9.96,5.836,1.0,0.120481928,0.879518072,0.991967871,0.570281124,0.413654618,0.016064257,248,0.858870968,0.197580645,VNGH80722915610,0.004016064
2026-04,HNO,Hà Nội,Huyện Thanh Trì,20357000,Bưu Cục 882 Kim Giang-Thanh Trì-HN,JUSTFIT - Chuẩn vóc dáng,10391,12843.587,11,3,944.6363636,1167.598818,0.996824175,0.242132615,0.757867385,0.967664325,0.399576557,0.600327206,9.62e-05,10382,0.884607975,0.158543633,VNGH80914405610,0.057261091
2026-05,HCM,Hồ Chí Minh,Huyện Bình Chánh,21640000,Bưu Cục C1/7 Lại Hùng Cường-Vĩnh Lộc B-Bình Chánh-HCM,Hiền 3HT,180,433.798,9,0,20.0,48.19977778,0.988888889,0.638888889,0.361111111,0.994444444,0.0,1.0,0.0,180,0.838888889,0.177777778,VNGH80542725909,0.233333333
2026-04,HCM,Hồ Chí Minh,Quận Phú Nhuận,20555000,Bưu Cục 58 Trương Quốc Dung-Q.Phú Nhuận-HCM,Nail Minh Chuyên,4,0.766,4,0,1.0,0.1915,1.0,0.75,0.25,0.5,0.0,0.5,0.5,4,0.75,0.25,VNGH80691155609,0.0
2026-05,HNO,Hà Nội,Huyện Thường Tín,21695000,Bưu Cục Thọ Giáo-Tân Minh-Thường Tín-HN,Gody Sun Bedding,1349,1157.104,21,0,64.23809524,55.10019048,0.997034841,0.33283914,0.66716086,0.611564122,0.733876946,0.244625649,0.021497405,1232,0.923701299,0.085227273,VNGH80596916207,0.018532246
2026-03,HNO,Hà Nội,Quận Long Biên,1297,Key Account Warehouse Ha Noi,CÀ RỐT PERT MART,498,898.875,26,0,19.15384615,34.57211538,0.975903614,0.457831325,0.542168675,0.572289157,0.048192771,0.63253012,0.319277108,498,0.887550201,0.192771084,VNGH80315494908,0.06875
2026-04,HCM,Hồ Chí Minh,Quận Bình Tân,21667000,Bưu Cục 107 Đường 3D-Bình Hưng Hòa B-Bình Tân-HCM,XƯỞNG GIA CÔNG QUẦN JEANS,4,2.75,4,0,1.0,0.6875,1.0,0.5,0.5,0.75,0.0,1.0,0.0,4,0.25,0.75,VNGH80171215606,0.0
2026-04,HCM,Hồ Chí Minh,Quận 12,22076000,Bưu Cục 92 Tân Chánh Hiệp 03-Tân Chánh Hiệp-Quận 12-HCM,SaoMai-store,73,73.981,19,0,3.842105263,3.893736842,0.97260274,0.767123288,0.232876712,0.369863014,0.150684932,0.643835616,0.205479452,73,0.808219178,0.232876712,VNGH80450095606,0.0
2026-05,HCM,Hồ Chí Minh,Quận Tân Phú,22730000,Bưu Cục 58 Lê Thúc Hoạch-Q.Tân Phú-HCM,SC.Cosmetic,43,43.536,17,0,2.529411765,2.560941176,1.0,0.837209302,0.162790698,0.953488372,0.0,0.837209302,0.162790698,41,0.975609756,0.048780488,VNGH80930576207,0.0
2026-04,HNO,Hà Nội,Quận Nam Từ Liêm,20936000,Bưu Cục 631 Phúc Diễn-Q.Nam Từ Liêm-HN,PHỤ KIỆN VIOLET,55,30.0,4,0,13.75,7.5,1.0,0.272727273,0.727272727,0.290909091,0.618181818,0.381818182,0.0,55,0.836363636,0.2,VNGH80563515010,0.0
2026-04,HNO,Hà Nội,Huyện Thanh Trì,22510000,Bưu Cục 35 Liền Kề 9 KĐT Đại Thanh-Thanh Trì-HN,Thời Trang Bốn Mùa Hoa Phượng,3,1.6,3,0,1.0,0.533333333,1.0,0.333333333,0.666666667,0.666666667,0.333333333,0.666666667,0.0,3,0.666666667,0.666666667,VNGH80596135304,0.0
2026-05,HCM,Hồ Chí Minh,Quận 5,20026000,Bưu Cục 63 Ký Hòa-Q.5-HCM,worldshopvibec,2,9.0,2,0,1.0,4.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,2,1.0,0.0,VNGH80361726105,0.0
2026-04,HCM,Hồ Chí Minh,Quận 5,20026000,Bưu Cục 63 Ký Hòa-Q.5-HCM,warmbuyt,3,15.0,3,0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0.666666667,0.333333333,VNGH80231145404,0.0
2026-03,HNO,Hà Nội,Quận Nam Từ Liêm,20087000,Bưu Cục C14 Bắc Hà-Q.Nam Từ Liêm-HN,EasyGarden,1,0.2,1,0,1.0,0.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80785664407,1.0
2026-04,HCM,Hồ Chí Minh,Quận Bình Thạnh,1479,Bưu Cục 104 Lương Ngọc Quyến-Q.Bình Thạnh-HCM,Firgi Việt Nam,983,1211.3,25,0,39.32,48.452,0.993896236,0.06103764,0.93896236,0.977619532,0.099694812,0.900305188,0.0,983,0.929806714,0.095625636,VNGH80923695609,0.000509684
2026-04,HNO,Hà Nội,Huyện Đông Anh,21562000,Bưu Cục Cổ Dương-Tiên Dương-Đông Anh-HN,RupaLuma Beauty,4,0.612,3,0,1.333333333,0.204,1.0,0.0,1.0,0.25,0.25,0.75,0.0,4,0.5,0.5,VNGH80632185208,0.0
2026-05,HNO,Hà Nội,Quận Hai Bà Trưng,2332,Bưu Cục 55C Nguyễn Khoái-Q.Hai Bà Trưng-HN,HL perfume@,7,3.5,5,0,1.4,0.7,1.0,0.571428571,0.428571429,0.714285714,0.142857143,0.857142857,0.0,7,0.857142857,0.142857143,VNGH80287826204,0.0
2026-04,HNO,Hà Nội,Quận Hai Bà Trưng,20047000,Bưu Cục 53 Lãng Yên-Q.Hai Bà Trưng-HN,Tuấn Bán 0 sửa,4,3.2,1,0,4.0,3.2,1.0,0.25,0.75,1.0,0.0,1.0,0.0,4,1.0,0.0,VNGH80749975501,0.0
2026-05,HCM,Hồ Chí Minh,Quận Gò Vấp,22173000,Bưu Cục 183 Nguyễn Oanh-Phường 17-Gò Vấp-HCM,Phụ Kiện Sang Chảnh,1,1.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,VNGH80469925903,0.0
2026-04,HNO,Hà Nội,Quận Hà Đông,22353000,Bưu Cục Số Nhà F8-Khu Đấu Giá Phú Lương 1-Phú Lương-HN,Tú Quyên Gia Dụng,921,1045.15,27,0,34.11111111,38.70925926,0.998914224,0.389793702,0.610206298,0.537459283,0.399565689,0.600434311,0.0,921,0.880564604,0.154180239,VNGH80556065609,0.102062975
2026-05,HCM,Hồ Chí Minh,Thành Phố Thủ Đức,21311000,Bưu Cục Tăng Nhơn Phú B-Q.9-HCM,hanfarmshop,10,4.0,8,0,1.25,0.5,1.0,0.5,0.5,0.6,0.3,0.7,0.0,10,1.0,0.0,VNGH80240966001,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Bình Chánh,20750000,Bưu Cục F5/9A Trần Văn Giàu-Bình Chánh-HCM,HA THANH SON,292,123.874,25,0,11.68,4.95496,1.0,0.493150685,0.506849315,0.339041096,0.099315068,0.510273973,0.390410959,292,0.839041096,0.178082192,VNGH80622165701,0.02739726
2026-03,HCM,Hồ Chí Minh,Quận 11,22388000,Bưu cục 215 Bình Thới-Q.11-HCM,Như Ý Luân,26,4.952,7,0,3.714285714,0.707428571,1.0,0.5,0.5,0.269230769,0.5,0.307692308,0.192307692,26,0.807692308,0.346153846,VNGH80909484605,0.0
2026-05,HNO,Hà Nội,Huyện Đông Anh,22362000,Bưu Cục 3 Thôn Cầu Thăng Long-Đông Anh-HN,Mrchengchunshangmao,1,2.333,1,0,1.0,2.333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80340065707,0.0
2026-05,HCM,Hồ Chí Minh,Quận 8,2376,Bưu Cục 2999 Phạm Thế Hiển-Q.8-HCM,XuanNguyen0704,5,0.83,4,0,1.25,0.2075,1.0,0.4,0.6,0.8,0.0,0.8,0.2,2,1.0,0.0,VNGH80912316207,0.0
2026-03,HCM,Hồ Chí Minh,Quận 11,22388000,Bưu cục 215 Bình Thới-Q.11-HCM,KOK Việt Nam,1,0.25,1,0,1.0,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80605514810,0.0
2026-03,HNO,Hà Nội,Huyện Thanh Oai,22753000,Bưu Cục 10/3 Thôn Ninh Dương-Thanh Oai-HN,Minh Closet,24,13.0,10,0,2.4,1.3,1.0,0.375,0.625,0.583333333,0.25,0.708333333,0.041666667,24,0.875,0.166666667,VNGH80318444907,0.130434783
2026-04,HCM,Hồ Chí Minh,Quận 11,22388000,Bưu cục 215 Bình Thới-Q.11-HCM,DẦU ĐẬU PHỘNG VIETURAL,14,14.5,1,0,14.0,14.5,1.0,0.785714286,0.214285714,1.0,0.0,1.0,0.0,14,0.857142857,0.142857143,VNGH80876565508,0.0
2026-04,HNO,Hà Nội,Quận Hoàng Mai,21588000,Bưu Cục 84 Đặng Xuân Bảng-Đại Kim-Hoàng Mai-HN,giaoductuonglai,1,0.333,1,0,1.0,0.333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,VNGH80533324910,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Hóc Môn,21066000,Bưu Cục 106/3A Tây Lân-Hóc Môn-HCM,Chất Sạch An,33,11.0,14,0,2.357142857,0.785714286,1.0,0.121212121,0.878787879,0.333333333,0.666666667,0.333333333,0.0,33,0.939393939,0.090909091,VNGH80401805608,0.0
2026-05,HCM,Hồ Chí Minh,Quận Bình Tân,21667000,Bưu Cục 107 Đường 3D-Bình Hưng Hòa B-Bình Tân-HCM,Luminary shoe,11,12.0,7,0,1.571428571,1.714285714,1.0,0.818181818,0.181818182,0.272727273,0.272727273,0.363636364,0.363636364,11,0.909090909,0.090909091,VNGH80554896205,0.0
2026-05,HCM,Bình Dương,Thành phố Thủ Dầu Một,21508000,Bưu Cục Phú Lợi-TP.Thủ Dầu Một-Bình Dương,TB10 store,2,2.4,2,0,1.0,1.2,1.0,0.5,0.5,0.5,0.0,1.0,0.0,2,1.0,0.0,VNGH80953455803,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Bình Chánh,22546000,Bưu Cục 692 An Phú Tây-Bình Chánh-HCM,Chậu nhựa Vi Băng,2,198.0,2,0,1.0,99.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,0.5,1.0,VNGH80052365303,0.0
2026-03,HCM,Hồ Chí Minh,Quận 2,20102000,Bưu cục 58 Vũ Tông Phan-Q.2-HCM,OFME BEAUTY,47,8.882,14,0,3.357142857,0.634428571,1.0,0.382978723,0.617021277,1.0,0.0,1.0,0.0,47,0.936170213,0.063829787,VNGH80899264906,0.0
2026-04,HCM,Hồ Chí Minh,Quận Bình Tân,22668000,Bưu Cục KD 804 Tân Kỳ Tân Quý-Q.Bình Tân-HCM,BUMBER .Ile,70,14.0,3,0,23.33333333,4.666666667,1.0,0.414285714,0.585714286,0.0,0.028571429,0.971428571,0.0,70,0.871428571,0.128571429,VNGH80934915307,0.0
2026-03,HCM,Hồ Chí Minh,Quận 12,22076000,Bưu Cục 92 Tân Chánh Hiệp 03-Tân Chánh Hiệp-Quận 12-HCM,thepin.store,21,3.906,16,0,1.3125,0.244125,1.0,0.571428571,0.428571429,0.619047619,0.380952381,0.619047619,0.0,21,0.904761905,0.095238095,VNGH80575484908,0.047619048
2026-03,HCM,Hồ Chí Minh,Huyện Bình Chánh,20750000,Bưu Cục F5/9A Trần Văn Giàu-Bình Chánh-HCM,Mlen Diary,1188,459.264,3,0,396.0,153.088,1.0,0.068181818,0.931818182,0.150673401,0.334175084,0.411616162,0.254208754,1188,0.895622896,0.127946128,VNGH80729324909,0.0
2026-03,HNO,Hà Nội,Huyện Mỹ Đức,21052000,Bưu Cục Đại Nghĩa-Mỹ Đức-HN,Royal Towel,1,73.5,1,0,1.0,73.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1.0,1.0,VNGH80301244608,0.0
2026-04,HNO,Hà Nội,Huyện Đông Anh,21562000,Bưu Cục Cổ Dương-Tiên Dương-Đông Anh-HN,BuonMaThuotCocoaTrend2,5,12.0,5,0,1.0,2.4,1.0,0.0,1.0,0.0,0.0,0.8,0.2,5,1.0,0.2,VNGH80525425202,0.0
2026-05,HCM,Hồ Chí Minh,Huyện Bình Chánh,22030000,Bưu Cục Vĩnh Lộc A-Bình Chánh-HCM,phanlongstore90,100,78.5,15,0,6.666666667,5.233333333,1.0,0.53,0.47,0.54,0.03,0.75,0.22,94,0.957446809,0.053191489,VNGH80347326206,0.06
2026-05,HCM,Hồ Chí Minh,Quận Tân Phú,22214000,Bưu Cục 197 Lê Cao Lãng-Phú Thạnh-Tân Phú-HCM,Newteavn,5802,3572.962,18,0,322.3333333,198.4978889,0.999655291,0.884867287,0.115132713,0.999827646,0.476387453,0.523612547,0.0,5678,0.941528707,0.082951744,VNGH80947356208,0.004825922
2026-05,HNO,Hà Nội,Quận Hai Bà Trưng,1489,Bưu Cục 263 Phố Vọng-Q.Hai Bà Trưng-HN,Siberian Wellness Hà Nội,55,20.8,22,0,2.5,0.945454545,1.0,0.527272727,0.472727273,0.654545455,0.309090909,0.690909091,0.0,53,0.943396226,0.056603774,VNGH80924276207,0.0
2026-04,HNO,Hà Nội,Quận Hoàng Mai,22490000,Bưu Cục Cồng Kềnh Giải Phóng-Q.Hoàng Mai-HN,ChouChou.Cosmetics,83,137.5,17,0,4.882352941,8.088235294,0.987951807,0.578313253,0.421686747,0.445783133,0.578313253,0.421686747,0.0,83,0.891566265,0.156626506,VNGH80788265602,0.0
2026-05,HNO,Hà Nội,Huyện Phú Xuyên,22001000,Bưu Cục Thôn An Khoái-Phúc Tiến-Phú Xuyên-HN,Siêu Thị HN,19,10.4,10,0,1.9,1.04,1.0,0.052631579,0.947368421,0.631578947,0.157894737,0.736842105,0.105263158,18,0.944444444,0.055555556,VNGH80676026205,0.0
2026-04,HCM,Hồ Chí Minh,Quận 12,22307000,Bưu Cục 256/59 Đường Thạnh Xuân 25-Quận 12-HCM,Xenangqslift,2,156.0,2,0,1.0,78.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1,0.0,1.0,VNGH80110875004,0.0
2026-05,HCM,Hồ Chí Minh,Quận Gò Vấp,22173000,Bưu Cục 183 Nguyễn Oanh-Phường 17-Gò Vấp-HCM,BlushMart,5,3.5,4,0,1.25,0.875,1.0,0.2,0.8,0.0,0.0,0.8,0.2,5,0.6,0.6,VNGH80094035906,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Hóc Môn,20944000,Bưu Cục 309 Nguyễn Thị Ngâu-Hóc Môn-HCM,longchimmiennam89,114,80.26,25,0,4.56,3.2104,1.0,0.51754386,0.48245614,0.98245614,0.385964912,0.298245614,0.315789474,113,0.902654867,0.150442478,VNGH80776965608,0.00877193
2026-03,HNO,Hà Nội,Thị xã Sơn Tây,20934000,Bưu Cục 203 La Thành-Sơn Tây-HN,Bộ Nhà Xinh.xx,1,0.4,1,0,1.0,0.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80390024605,0.0
2026-05,HNO,Hà Nội,Huyện Đông Anh,20010000,Bưu Cục Vân Hà-Đông Anh-HN,Ladfa,1,0.5,1,0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80629305706,0.0
2026-04,HCM,Hồ Chí Minh,Quận Gò Vấp,22033000,Bưu Cục Phan Huy Ích-Gò Vấp-HCM,Tạp Hoá Bé Bon,5,0.83,5,0,1.0,0.166,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5,0.8,0.2,VNGH80735935701,0.0
2026-04,HNO,Hà Nội,Quận Long Biên,21696000,Bưu Cục TT1 Khu tái định cư Ngọc Thụy-Long Biên-HN,EZPINTOOLS,46,28.992,13,0,3.538461538,2.230153846,1.0,0.130434783,0.869565217,0.652173913,0.173913043,0.826086957,0.0,46,0.934782609,0.152173913,VNGH80649855509,0.0
2026-04,HNO,Hà Nội,Huyện Đan Phượng,21475000,Bưu Cục 172 Cầu Gáo-Đan Phượng-HN,LOA HAY STORE,283,346.896,24,0,11.79166667,14.454,0.996466431,0.137809187,0.862190813,0.512367491,0.261484099,0.512367491,0.22614841,283,0.826855124,0.204946996,VNGH80216975609,0.0
2026-04,HNO,Hà Nội,Huyện Thường Tín,21695000,Bưu Cục Thọ Giáo-Tân Minh-Thường Tín-HN,H D Store - Chăn Ga Gối Đệm,221,422.0,22,0,10.04545455,19.18181818,0.954751131,0.425339367,0.574660633,0.334841629,0.298642534,0.502262443,0.199095023,221,0.800904977,0.208144796,VNGH80777925609,0.271493213
2026-05,HNO,Hà Nội,Quận Thanh Xuân,20614000,Bưu Cục 142A Khuất Duy Tiến-Q.Thanh Xuân-HN,TinyTech Store,123,19.176,18,0,6.833333333,1.065333333,1.0,0.235772358,0.764227642,0.951219512,0.097560976,0.585365854,0.317073171,105,0.942857143,0.066666667,VNGH80762616208,0.008130081
2026-03,HCM,Hồ Chí Minh,Quận Bình Tân,21424000,Bưu Cục 1440/1 Tỉnh Lộ 10-Tân Tạo-Bình Tân-HCM,Đồ gia dụng001,46,60.647,1,0,46.0,60.647,1.0,0.391304348,0.608695652,0.0,0.413043478,0.52173913,0.065217391,46,0.869565217,0.130434783,VNGH80989774902,0.0
2026-04,HNO,Hà Nội,Quận Hà Đông,20620000,Bưu cục 36 TT9 KĐT Văn Phú-Q.Hà Đông-HN,awkimshop,2,3.34,2,0,1.0,1.67,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0.5,0.5,VNGH80929715603,0.0
2026-03,HNO,Hà Nội,Huyện Thanh Oai,22753000,Bưu Cục 10/3 Thôn Ninh Dương-Thanh Oai-HN,July.Clothing97,31,17.5,17,0,1.823529412,1.029411765,1.0,0.161290323,0.838709677,1.0,0.0,1.0,0.0,31,0.838709677,0.225806452,VNGH80022384908,0.0
2026-04,HCM,Hồ Chí Minh,Huyện Bình Chánh,21640000,Bưu Cục C1/7 Lại Hùng Cường-Vĩnh Lộc B-Bình Chánh-HCM,INOX GIA DỤNG THIÊN BẢO,52,1585.0,18,0,2.888888889,88.05555556,0.0,0.692307692,0.307692308,0.384615385,0.480769231,0.5,0.019230769,52,0.769230769,0.288461538,VNGH80918155605,0.0
2026-03,HCM,Hồ Chí Minh,Huyện Hóc Môn,21066000,Bưu Cục 106/3A Tây Lân-Hóc Môn-HCM,͏J͏udydoll,17,2.822,12,0,1.416666667,0.235166667,1.0,0.058823529,0.941176471,0.529411765,0.294117647,0.705882353,0.0,17,0.764705882,0.411764706,VNGH80826844906,0.0
2026-03,HNO,Hà Nội,Huyện Thường Tín,22103000,Bưu Cục Xã Thắng Lợi-Thường Tín-HN,Trần Phú SLingshot,6,1.874,2,0,3.0,0.937,1.0,0.5,0.5,0.166666667,0.0,1.0,0.0,6,0.666666667,0.333333333,VNGH80700094904,0.0
2026-04,HNO,Hà Nội,Quận Đống Đa,2520,Bưu Cục 09 Hoàng Cầu-Q.Đống Đa-HN,Mẹ Na Kids. XK,4,1.0,2,0,2.0,0.5,1.0,0.75,0.25,0.0,0.75,0.0,0.25,4,1.0,0.0,VNGH80000755610,0.25
2026-03,HNO,Hà Nội,Quận Thanh Xuân,20103000,Bưu Cục 559 Vũ Tông Phan-Q.Thanh Xuân-HN,Min0niM,7,8.1,5,0,1.4,1.62,1.0,0.0,1.0,0.285714286,0.0,0.857142857,0.142857143,7,1.0,0.0,VNGH80089124703,0.0
2026-05,HNO,Hà Nội,Huyện Chương Mỹ,22697000,Bưu Cục Hồng Phú-Chương Mỹ-HN,Dbfr,57,7.122,18,0,3.166666667,0.395666667,1.0,0.122807018,0.877192982,0.526315789,0.087719298,0.842105263,0.070175439,54,0.592592593,0.425925926,VNGH80517196104,0.0
2026-05,HCM,Bà Rịa - Vũng Tàu,Thị Xã Phú Mỹ,21462000,Bưu Cục KP Trảng Lớn-Phú Mỹ-Hắc Dịch-Bà Rịa Vũng Tàu,Shop Xuân Lan 89,487,201.07,22,0,22.13636364,9.139545455,1.0,0.217659138,0.782340862,0.948665298,0.353182752,0.447638604,0.199178645,436,0.935779817,0.087155963,VNGH80239116208,0.0
2026-03,HCM,Hồ Chí Minh,Quận Bình Tân,22668000,Bưu Cục KD 804 Tân Kỳ Tân Quý-Q.Bình Tân-HCM,DuGu Brand,5,2.502,5,0,1.0,0.5004,1.0,0.6,0.4,0.6,0.2,0.6,0.2,5,1.0,0.0,VNGH80960744902,0.0
2026-05,HCM,Hồ Chí Minh,Quận Thủ Đức,21541000,Bưu Cục 46 Tam Bình-Hiệp Bình Chánh-Q.Thủ Đức-HCM,SnackJoyvv,1,1.5,1,0,1.0,1.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80903715902,0.0
